"Url Suffix","Url Suffix"
"Leave empty for no suffix. Default: .html","Leave empty for no suffix. Default: .html"
"Add Brand Link to Top Menu","Add Brand Link to Top Menu"
"Attribute Brand:","Attribute Brand:"
"Brand attribute code","Brand attribute code"
"Link Brand:","Link Brand:"
"Link Brand","Link Brand"
"Setting Slide (For Widget)","Setting Slide (For Widget)"
Slide,Slide
"Enabled Slide","Enabled Slide"
"Slide Vertical","Slide Vertical"
"Mode Vertical","Mode Vertical"
Infinite,Infinite
"Auto Play","Auto Play"
Arrows,Arrows
Next/Back,Next/Back
Dots,Dots
Pager,Pager
Rows,Rows
"Row Item","Row Item"
Speed,Speed
"autoplay Speed","autoplay Speed"
Padding,Padding
"Padding item Brand","Padding item Brand"
"Setting Responsive (For Widget)","Setting Responsive (For Widget)"
"max-width 360:","max-width 360:"
"Number product show in screen ( Size <= 360 )","Number product show in screen ( Size <= 360 )"
"max-width 480:","max-width 480:"
"Number product show in screen ( 360 < Size < 480 )","Number product show in screen ( 360 < Size < 480 )"
"max-width 640:","max-width 640:"
"Number product show in screen ( 480 <= Size < 640 )","Number product show in screen ( 480 <= Size < 640 )"
"max-width 768:","max-width 768:"
"Number product show in screen ( 640 <= Size < 768 )","Number product show in screen ( 640 <= Size < 768 )"
"max-width 991:","max-width 991:"
"Number product show in screen ( 768 <= Size < 992 )","Number product show in screen ( 768 <= Size < 992 )"
"max-width 1199:","max-width 1199:"
"Number product show in screen ( 992 <= Size < 1200 )","Number product show in screen ( 992 <= Size < 1200 )"
"max-width 1479:","max-width 1479:"
"Number product show in screen ( 1200 <= Size < 1480 )","Number product show in screen ( 1200 <= Size < 1480 )"
"max-width 1919:","max-width 1919:"
"Number product show in screen ( 1366 <= Size < 1920 )","Number product show in screen ( 1366 <= Size < 1920 )"
"min-width 1920:","min-width 1920:"
"Number product show in screen ( Size >= 1920 )","Number product show in screen ( Size >= 1920 )"
"Brand List Page Settings","Brand List Page Settings"
"Show Product Count","Show Product Count"
"Display the product number next to the Brand name.","Display the product number next to the Brand name."
"Setting Slide","Setting Slide"
"Setting Responsive","Setting Responsive"
"Brand Detail Page Settings","Brand Detail Page Settings"
"Sidebar Shop by brand","Sidebar Shop by brand"
"Enabled Shop by brand in Sidebar","Enabled Shop by brand in Sidebar"
"Product Detail Page Settings","Product Detail Page Settings"
"Show Logo on Product Page","Show Logo on Product Page"
"Show Logo on Product Detail Page","Show Logo on Product Detail Page"
"Shopbrand tab Products Config","Shopbrand tab Products Config"
"Padding item Product","Padding item Product"
"Brand Logo Widget","Brand Logo Widget"
Template,Template
Default,Default
"Shop Brand Widget","Shop Brand Widget"
Brands,Brands
BRANDS,BRANDS
